PMID,Title,Abstract,Reviewer1_Decision,Reviewer1_Notes,Reviewer2_Decision,Reviewer2_Notes,Final_Decision,Exclusion_Reason
"35655728","A Cohort Study on the Comparison of Complications, Short-Term Efficacy, and  Quality of Life between Thoracoscopic Surgery and Traditional Surgery in the  Treatment of Rib Fractures.","OBJECTIVE: A case-control study was conducted, to assess the complications,  short-term effectiveness, and quality of life of video-assisted thoracoscopic  surgery with conventional surgery in the treatment of rib fractures. METHODS:  From February 2018 to April 2021, 100 patients with rib fractures who required  surgical treatment at the hospital were selected. Patients were randomly divided  into control and study groups. The study group received thoracoscopy-assisted rib  internal fixation, a","","","","","",""
"35657504","VATS-assisted surgical stabilization of rib fractures in flail chest: 1-year  follow-up of 105 cases.","OBJECTIVES: Early surgical stabilization of flail chest has been shown to improve  chest wall stability and diminish respiratory complications. The addition of  video‑assisted thoracoscopic surgery (VATS) can diagnose and manage intrathoracic  injuries and evacuate hemothorax. This study analyzed the outcome of our 7-year  experience with VATS-assisted surgical stabilization of rib fractures (SSRF) for  flail chest. METHODS: From January 2013 to December 2019, all trauma patients  undergoing VAT","","","","","",""
"35665200","A case of hemorrhagic shock due to intercostal artery injury that occurred during  initial trauma care with multiple displaced rib fractures and traumatic head  injury.","Rib fractures can cause injury to some organs. We herein report a case of  hemorrhagic shock due to intercostal artery injury that occurred during initial  trauma care (ITC) treated by resuscitative thoracotomy (RT) and transcatheter  arterial embolization (TAE) with multiple displaced rib fractures (RFs) and  traumatic head injury (THI). A man in his 50s who was injured in a traffic  accident was transferred to our institution by helicopter for emergency medical  treatment. He underwent left th","","","","","",""
"35680436","Retrospective study of consecutive rib fracture patients treated by open  reduction internal fixation in a single major trauma centre, UK.","INTRODUCTION: Rib fractures are a common presentation in both patients presenting  with high impact poly-trauma and as a result of low energy falls in the elderly.  This injury can lead to various complications including prolonged hospital  admission, pneumonia, need for ventilation and in admission to intensive care  unit. There is much controversy around the management of this injury in the  literature, with favourable outcomes for patients treated non-operatively as well  as surgically. METHO","","","","","",""
"35723830","It is Time to Replace Large Drains with Small Ones After Fixation of Rib  Fractures: A Prospective Observational Study.","INTRODUCTION: Large-bore chest tubes are usually applied after thoracic surgery.  Recently, small-bore tubes have been increasingly considered owing to the  extensive use of video-assisted thoracoscopic surgery (VATS). This study assessed  the differences in outcomes between large-bore and small-caliber drainage tubes  in patients undergoing surgical stabilization of rib fractures (SSRF) with VATS.  METHODS: Overall, 131 patients undergoing SSRF with VATS were prospectively  enrolled, including ","","","","","",""
"35766917","Comparison of Infectious Complications after Surgical Fixation versus Epidural  Analgesia for Acute Rib Fractures.","Background: Surgical stabilization of rib fractures (SSRF) is associated with  decreased mortality and respiratory complications. Patients who are not offered  SSRF are often treated with epidural analgesia (EA) to reduce pain and improve  pulmonary mechanics. We sought to compare infectious complications in patients  undergoing either SSRF or EA. We hypothesized that infectious complications are  equivalent between the two treatment groups. Patients and Methods: We performed a  retrospective co","","","","","",""
"35794958","Extensive traumatic anterior chest wall injury including type I manubriosternal  dislocation.","Manubriosternal joint dislocation (MSD) is a rare traumatic injury, usually  preceded by a high energy trauma. We report a case of a 40-year-old female who  was involved in a motor vehicle accident and presented to a tertiary trauma  centre. She suffered from severe chest wall injuries, including significantly  displaced manubriosternal dislocation with lung herniation, bilateral rib  fractures and hemopneumothoraxes. She underwent a chest wall reconstruction with  open reduction and internal fi","","","","","",""
"35812674","Successful treatment of aortic dissection with pulmonary embolism: A case report.","BACKGROUND: Aortic dissection (AD) and pulmonary embolism (PE) are both  life-threatening disorders. Because of their conflicting treatments, treatment  becomes difficult when they occur together, and there is no standard treatment  protocol. CASE SUMMARY: A 67-year-old man fell down the stairs due to syncope and  was brought to our hospital as a confused and irritable patient who was  uncooperative during the physical examination. Further examination of the head,  chest and abdomen by computed ","","","","","",""
"35812719","Association of multiple rib fractures with the frequency of pneumonia in the  post-resuscitation period.","PURPOSE: Successful cardiopulmonary resuscitation is associated with a high  incidence of chest wall injuries. However, few studies have examined chest wall  injury as a risk factor for respiratory complications after cardiopulmonary  resuscitation. Therefore, herein, we investigated the association of multiple rib  fractures on the incidence of post-resuscitation pneumonia. METHODS: This  single-centre retrospective cohort study enrolled adult, nontraumatic,  out-of-hospital cardiac arrest pati","","","","","",""
"35829736","Operative fixation of rib fracture nonunions.","INTRODUCTION: Rib fractures are common injuries in trauma patients that often  heal without intervention. Infrequently, symptomatic rib fracture nonunions are a  complication after rib fractures. There is a paucity of literature on the  surgical treatment of rib fracture nonunion. The purpose of this study was to  describe the efficacy of rib fracture nonunion operative fixation with particular  focus on surgical technique, healing rates, and complications. MATERIALS AND  METHODS: Patients aged ","","","","","",""
"35836219","The role of acute care surgeons in treating rib fractures-a retrospective cohort  study from a single level I trauma center.","BACKGROUND: Rib fractures are the most common thoracic injury in patients who  sustained blunt trauma, and potentially life-threatening associated injuries are  prevalent. Multi-disciplinary work-up is crucial to achieving a comprehensive  understanding of these patients. The present study demonstrated the experience of  an acute care surgery (ACS) model for rib fracture management from a single level  I trauma center over 13 years. METHODS: Data from patients diagnosed with acute  rib fractures","","","","","",""
"35839280","Operative Rib Fixation at a Rural Trauma Center.","INTRODUCTION: Operative rib fixation is becoming more common in the management of  rib fractures, with studies showing benefits of surgery in decreasing time on  mechanical ventilation, ICU and total hospital length of stay, and mortality.  This paper will review the data from our institution to determine if these  benefits were seen in our trauma population. METHODS: A retrospective review of  the institution's trauma database was conducted, including operative patients (n  = 36), control patie","","","","","",""
"358491","[Surgical treatment of the flail chest (author's transl)].","Six patients with traumatic flail chest underwent surgical stabilization using a  procedure introduced by Brunner, Hoffmeister and Koncz (2). Compared with  internal stabilization by intermittend positive pressure respiration (IPPR),  there are some advantages: Time of artificial respiration is shortened, early  mobilization is possible, nursing is easier. The procedure is simple to do and is  indicated in those patients, in whom longterm artificial respiration is not  necessary for other reason","","","","","",""
"35892299","[Fixation of Flail Chest with Bioabsorbable Plate].","A 57-year-old man presented to our hospital with multiple rib fractures and  pleural effusion caused by a traffic accident. We inserted a chest tube and  diagnosed him with hemothorax. We performed damage control surgery with right  thoracotomy in the emergency room to confirm the bleeding point. The main sources  of bleeding were multiple rib fractures and lung injury. We performed partial  lung resection and gauze packing into the thoracic cavity and confirmed the  stability of the patient's h","","","","","",""
"35914987","Comparison of surgical stabilization of rib fractures vs epidural analgesia on  in-hospital outcomes.","INTRODUCTION: Surgical stabilization of rib fractures (SSRF) improves functional  outcomes compared to controls, partly due to reduction in pain. We investigated  the impact of early SSRF on pulmonary complications, mortality, and length of  stay compared to non-operative analgesia with epidural analgesia (EA). METHODS:  Retrospective cohort study of the Trauma Quality Improvement Program (TQIP) 2017  dataset for adults with rib fractures, excluding those with traumatic brain  injury or death wi","","","","","",""
"35935502","Finite element analysis of different fixation methods of screws on absorbable  plate for rib fractures.","Multiple rib fractures caused by trauma are common injuries and the internal  fixation methods of these injuries have been paid more and more attention by  surgeons. Absorbable plates and screws are the effective way to treat rib  fractures, but there are no reports on which type of screw fixation method is  most effective. In this study, finite element analysis was used to study the  effects of five different types of screw fixation methods on anterior rib,  lateral rib and posterior rib. The f","","","","","",""
"35948245","Blunt traumatic aortic injury in the elderly population.","OBJECTIVE: Blunt thoracic aortic injury (BTAI) is a major cause of morbidity and  mortality in trauma patients. Although outcomes for BTAI have been described in  younger patient populations, elderly patients may present with different patterns  of injury and have unique factors contributing to morbidity and mortality. This  study aims to describe patterns of presentation and management in elderly  patients presenting with BTAI using a nationwide database. METHODS: Patients aged  65 years and ol","","","","","",""
"35972185","Lucky number 13: Association between center-specific chest wall stabilization  volumes and patient outcomes.","BACKGROUND: Chest wall stabilization (CWS) improves outcomes for patients with  chest wall injury (CWI). We hypothesized that patients treated at centers with  higher annual CWS volumes experience superior outcomes. METHODS: A retrospective  study of adults with acute CWI undergoing surgical stabilization of rib or  sternal fractures within the 2019 Trauma Quality Improvement Program database,  excluding those with 24-hour mortality or any Abbreviated Injury Scale body  region of six, was conduc","","","","","",""
"35993872","Does surgical fixation improve pain and quality of life in patients with  non-flail rib fractures? A best evidence topic review.
LID - 10.1093/icvts/ivac214 [doi]
LID - ivac214","A best evidence topic in thoracic surgery was written according to a structured  protocol. The question addressed was 'does surgical stabilization of rib  fractures improve pain and quality of life in patients with non-flail rib  fractures?'. Altogether >300 papers were found using the reported search, of  which 6 represented the best evidence to answer the clinical question. The  authors, journal, date and country of publication, patient group studied, study  type, relevant outcomes and results","","","","","",""
"36001117","Surgical stabilization of rib fractures versus nonoperative treatment in patients  with multiple rib fractures following cardiopulmonary resuscitation: An  international, retrospective matched case-control study.","BACKGROUND: The presence of six or more rib fractures or a displaced rib fracture  due to cardiopulmonary resuscitation (CPR) has been associated with longer  hospital and intensive care unit (ICU) length of stay (LOS). Evidence on the  effect of surgical stabilization of rib fractures (SSRF) following CPR is  limited. This study aimed to evaluate outcomes after SSRF versus nonoperative  management in patients with multiple rib fractures after CPR. METHODS: An  international, retrospective study","","","","","",""
"36008560","Non-operative vs. operative treatment for multiple rib fractures after blunt  thoracic trauma: a multicenter prospective cohort study.","BACKGROUND: Patients with multiple rib fractures without a clinical flail chest  are increasingly being treated with rib fixation; however, high-quality evidence  to support this development is lacking. METHODS: We conducted a prospective  multicenter observational study comparing rib fixation to non-operative treatment  in all patients aged 18 years and older with computed tomography confirmed  multiple rib fractures without a clinical flail chest. Three centers performed  rib fixation as stand","","","","","",""
"36018371","Open reduction internal fixation of rib fractures: a biomechanical comparison  between the RibLoc U Plus((R)) system and anterior plate in rib implants.","OBJECTIVES: In this study, we assessed the bending strength of two surgical  repairs of rib fracture using RibLoc((R)) U Plus system made by Acute Innovations  and the anterior plate by Synthes. METHODS: After a rib fracture was created in  seven pairs of cadaveric rib specimens, one side was repaired with the anterior  plate and the other side repaired with the RibLoc U Plus((R)) plate. Each of the  rib is loaded using a custom device over 360,000 bending cycles to simulate in  vivo fatiguing r","","","","","",""
"36036820","Acute clavicle fixation after blunt chest trauma: effect on pulmonary outcomes  and patient disposition.","PURPOSE: Clavicle fractures are common in patients who sustain blunt chest trauma  (BCT). Recently, surgical fixation of rib fractures in patients with BCT has been  shown to improve pulmonary and clinical outcomes. Therefore, the purpose of this  study is to assess the role of early clavicle fixation (ECF) versus non-operative  (NO) treatment for midshaft clavicle fractures in this same population. METHODS:  A retrospective chart review was performed in patients with midshaft clavicle  fracture","","","","","",""
"36056421","Effectiveness of rib fixation compared to pain medication alone on pain control  in patients with uncomplicated rib fractures: study protocol of a pragmatic  multicenter randomized controlled trial-the PAROS study (Pain After Rib  OSteosynthesis).","BACKGROUND: Persistent pain and disability following rib fractures result in a  large psycho-socio-economic impact for health-care system. Benefits of rib  osteosynthesis are well documented in patients with flail chest that necessitates  invasive ventilation. In patients with uncomplicated and simple rib fractures,  indication for rib osteosynthesis is not clear. The aim of this trial is to  compare pain at 2 months after rib osteosynthesis versus medical therapy.  METHODS: This trial is a prag","","","","","",""
"36063892","Revisable and high-strength wheel-spun alginate/graphene oxide based fibrous rods  towards a flexible and biodegradable rib internal fixation system.","The intramedullary splint insertion fixation system is the mainstream clinical  solution to severe rib fractures. However, the titanium alloy scaffolds have  limitations in biocompatibility, flexibility and complexity of surgeries. Here we  present a revisable wheel-spun alginate (Alg)/graphene oxide (GO)-based fibrous  rod as a potential alternative for a rib internal fixation system. The reversible  fusion and fission capability was obtained by optimized Alg/GO blended spinning  and GO coating","","","","","",""
"36096575","Is There a Role for Rib Plating in Thoracic Trauma?","Rib fractures are a morbid consequence of blunt trauma and are associated with a  highly variable clinical presentation ranging from nondisplaced rib fractures  causing limited, manageable pain to severely displaced rib fractures with  concomitant thoracic injuries leading to respiratory failure. Due to an evolution  of techniques, hardware technology, and general acceptance, rib plating has  increased substantially at trauma centers all throughout the United States over  the past decade. This a","","","","","",""
"36099494","Resection of Posttraumatic Rib Synostoses Resolves Pulmonary Insufficiency: A  Case Report.
LID - 10.2106/JBJS.CC.22.00037 [doi]","CASE: A 30-year-old woman underwent open reduction and internal fixation for  multiple segmental rib fractures status post a motor vehicle collision. A year  later, the patient presented with extensive intercostal heterotopic ossification  associated with multilevel, hemithoracic, rib synostoses compromising her  ventilation. The patient subsequently underwent synostoses excision and hardware  removal. Pulmonary function tests (PFT), imaging, and patient-reported outcome  scores demonstrate reso","","","","","",""
"36111139","Thoracoscopic-assisted rib plating (TARP): initial single-center case series,  including TARP in the super elderly, technical lessons learned, and proposed  expanded indications.","OBJECTIVES: The application of surgical stabilization of rib fractures (SSRF)  remains inconsistent due to evolving indications and perceived associated  morbidity. By implementing thoracoscopic-assisted rib plating (TARP), a minimally  invasive SSRF approach, we expanded our SSRF application to patients who  otherwise might not be offered fixation. This report presents our initial  experience, including fixation in super elderly (aged >/=85 years), and technical  lessons learned. METHODS: This ","","","","","",""
"36121229","A method for identifying the learning curve for the surgical stabilization of rib  fractures.","BACKGROUND: Surgical stabilization of rib fractures (SSRF) is an accepted  efficacious treatment modality for patients with severe chest wall injuries.  Despite increased adoption of SSRF, surgical learning curves are unknown. We  hypothesized intraoperative duration could define individual SSRF learning  curves. METHODS: Consecutive SSRF operations between January 2017 and December  2021 at a single institution were reviewed. Operative time, as measured from  incision until skin closure, was ev","","","","","",""
"36121283","Rib fixation in patients with severe rib fractures and pulmonary contusions: Is  it safe?","BACKGROUND: Pulmonary contusion has been considered a contraindication to  surgical stabilization of rib fractures (SSRFs). This study aimed to evaluate the  association between pulmonary contusion severity and outcomes after SSRF. We  hypothesized that outcomes would be worse in patients who undergo SSRF compared  with nonoperative management, in presence of varying severity of pulmonary  contusions. METHODS: This retrospective cohort study included adults with three  or more displaced rib frac","","","","","",""
"36129720","Operative vs Nonoperative Treatment of Acute Unstable Chest Wall Injuries: A  Randomized Clinical Trial.","IMPORTANCE: Unstable chest wall injuries have high rates of mortality and  morbidity. In the last decade, multiple studies have reported improved outcomes  with operative compared with nonoperative treatment. However, to date, an  adequately powered, randomized clinical trial to support operative treatment has  been lacking. OBJECTIVE: To compare outcomes of surgical treatment of acute  unstable chest wall injuries with nonsurgical management. DESIGN, SETTING, AND  PARTICIPANTS: This was a multi","","","","","",""
"36149855","Challenges in closing the gap between evidence and practice: International survey  of institutional surgical stabilization of rib fractures guidelines.","BACKGROUND: Surgical stabilization of rib fractures (SSRF) has gained increasing  interest over the past decade, yet few candidates who could benefit from SSRF  undergo operative management. We conducted an international survey of  institutional SSRF guidelines comparing congruence between practice and  contemporary evidence. We hypothesized that few guidelines reflect comprehensive  evidence to facilitate standardized patient selection, operation, and  postoperative management. METHODS: A reque","","","","","",""
"36151336","Surgical Rib Fixation in Obese Patients with Isolated Flail Chest Improves  Outcomes: A Matched Cohort Study.","BACKGROUND: Obesity is associated with adverse outcomes after major operations.  The role of operative rib fixation (RF) in obese patients with flail chest is not  clear. The presence of other associated injuries may complicate the  interpretation of outcomes. This study compared outcomes after RF to nonoperative  management (NOM) in obese patients with isolated flail chest injury. METHODS:  Adult obese patients (BMI > 29.9) with flail chest were identified from the  Trauma Quality Improvement P","","","","","",""
"36155586","[Chest Wall Injury].","A traumatic chest wall injury is a condition that is often encountered in medical  practice, but the underlying pathophysiology varies widely depending on the  circumstances of the injury and the patient's background. The chest wall, which  protects vital organs and provides respiratory movement, can be a  life-threatening emergency when injured, thus it is important to respond promptly  and appropriately. Because a penetrating chest wall trauma is often associated  with intra-thoracic organ dam","","","","","",""
"36199720","Continuous Local Antibiotic Perfusion (CLAP) for Post-operative Infection of Open  Tibial Fractures: A Case Report.","INTRODUCTION: We encountered a case of post-operative infection of an open tibial  fracture that was controlled by continuous local antibiotic perfusion (CLAP), a  novel method of fracture-related infection (FRI) that we have developed. CLAP is  a procedure in which a bone marrow needle and a double lumen tube are placed in  the infected area, and an appropriate concentration of antimicrobial agent is  continuously administered and perfused. CASE REPORT: The patient was a  78-year-old woman. She","","","","","",""
"36210206","Creating a Chest Wall Injury and Reconstructive program: A single center  experience with rib fractures.","BACKGROUND: New Chest Wall Injury and Reconstructive Centers (CWIRC) are  emerging; this study aims to investigate the potential benefits of implementing a  CWIRC at a single institution. We hypothesized that patients treated at CWIRC  will have improved outcomes. METHODS: We instituted a CWIRC in 2019 at our  American College of Surgeons (ACS) Level One Trauma Center. We retrospectively  compared trauma patients with rib fractures who presented to our center 18 months  before (PRE-C) and 18 mon","","","","","",""
"36210605","Trends and Outcomes in Management of Thoracic Aortic Injury in Children,  Adolescent, and Mature Pediatric Patients Using Data from the National Trauma  Data Bank.","BACKGROUND: Thoracic aortic injury (TAI) is rare in the pediatric population.  Thoracic endovascular aortic repair (TEVAR) is the recommended standard of care  for treatment in the adult population given its association with lower rates of  mortality and morbidity than traditional open repairs for treatment of TAI.  However, there are unique anatomic challenges in treating pediatric patients with  TEVAR which may impact the outcomes and pediatric guidelines. We aimed to compare  current manageme","","","","","",""
"36219110","Blunt chest wall trauma: Rib fractures and associated injuries.","Blunt injuries to the chest wall, specifically those related to rib fractures,  need to be promptly identified and effectively managed to reduce patient  morbidity and mortality. Furthermore, judicious use of multimodal pain management  and early identification of patients who will benefit from the surgical  stabilization of rib fractures are paramount to optimal outcomes.","","","","","",""
"36226137","Postoperative submuscular emphysema due to air leakage from the residual screw  holes after plate removal in a patient who had undergone surgical stabilization  of flail chest.","Many studies have reported indications and complications of surgical  stabilization of rib fractures. However, data about the postoperative  complications after the removal of the plates are still lacking. The author  reports a rare complication after plate removal, postoperative submuscular  emphysema, due to air leakage from the residual screw hole. A 68-year-old male  with a flail chest was successfully treated by surgical rib fixation. A few  months later, the patient wanted his implants rem","","","","","",""
"36280417","[Combined use of prefabricated rib-locking titanium plate with ultrasound-guided  thoracic paravertebral nerve blockade in the treatment of multiple rib fractures  among the elderly].","OBJECTIVE: This paper is aimed at investigating the efficacy of combining  internal fixation using prefabricated rib-locking titanium plate with  ultrasound-guided thoracic paravertebral nerve blockade in treating multiple rib  fractures among the elderly. METHODS: Retrospective analysis of 221 elderly  patients with multiple rib fractures treated from February 2016 to November 2020.  According to whether surgery was performed, they were divided into the  plate-blockage combination group (surgic","","","","","",""
"36283879","Educational assessment of intrathoracic and extrathoracic surgical stabilization  of rib fractures.","BACKGROUND: Surgical stabilization of rib fractures (SSRF) is being done with  increased frequency and new advances. Intrathoracic SSRF is a new less invasive  approach compared to the traditional extrathoracic plating procedure. Educational  assessment can be done through descriptive analysis of learning curves with  operation time used as a proxy measurement for learning. The objective of this  level 3 observational cohort study is to assess the learning curve of introducing  the intrathoracic","","","","","",""
"36285534","Concomitant cardiac surgery and fixation of bilateral rib fractures sustained  during cardiopulmonary resuscitation.","BACKGROUND: Chest compressions during cardiopulmonary resuscitation (CPR) may  cause sternal or rib fractures and chest wall instability. This can complicate  medical management and significantly impair respiratory function. Surgical  management of flail chest is technically demanding, and it becomes even more  challenging if the patient requires a concomitant cardiac procedure. CASE  PRESENTATION: A 78-year-old male suffered a cardiac arrest and sustained sternal  and bilateral rib fractures du","","","","","",""
"36294705","The Surgical Timing and Complications of Rib Fixation for Rib Fractures in  Geriatric Patients.
LID - 10.3390/jpm12101567 [doi]
LID - 1567","Rib fractures (RF) are a common injury that cause significant morbidity and  mortality, especially in geriatric patients. RF fixation could shorten hospital  stay and improve survival. The aim of this retrospective study was to evaluate  the clinical impact and proper surgical timing of RF fixation in geriatric  patients. We reviewed all the medical data of patients older than 16 years old  with RF from the trauma registry database between January 2017 and December 2019  in Chang Gung Memorial H","","","","","",""
"36301075","Prospective single-center paradigm shift of surgical stabilization of rib  fractures with decreased length of stay and operative time with an intrathoracic  approach.","INTRODUCTION: Intrathoracic surgical stabilization of rib fractures allows for a  novel approach to rib fracture repair. This approach can help minimize muscle  disruption, which may improve patient recovery compared with traditional  extrathoracic plating. We hypothesized patients undergoing intrathoracic plating  (ITP) to have a shorter length of stay (LOS) and intensive care unit (ICU) LOS  compared with extrathoracic plating (ETP). METHODS: A prospective observational  paradigm shift study w","","","","","",""
"36318281","Flail chest injury-changing management and outcomes.","PURPOSE: The purpose of this study was to assess trends in management of flail  chest injuries over time and to determine impact on patient outcomes. METHODS: A  retrospective review of data from a prospectively collated database of all trauma  patients admitted to a level 1 trauma service in Victoria was conducted. All  trauma patients admitted to the hospital between July 2008 and June 2020 with an  Abbreviated Injury Scale (AIS) code for flail chest injury were included.  RESULTS: Our study i","","","","","",""
"36320990","Rib Plating as an Effective Approach to Managing Traumatic Rib Injuries: A Review  of the Literature.","Timely repair is essential to maximizing outcomes in patients with traumatic rib  injuries, whether in the presence or absence of flail chest (FC) or existing as  single or multiple rib fractures (MRF), due to its high morbidity and mortality  rate. This review focuses primarily on the plating system as an effective  surgical approach to stabilizing these injuries. Literature was surveyed using  the Google Scholar, PLOS One, and PubMed search engines between August 2021 and  April 2022. A total ","","","","","",""
"36389320","The clinical characteristics and surgical treatment for delayed blunt thoracic  aortic injury-a case series.","BACKGROUND: Delayed thoracic aortic injury (DTAI) induced by left closed rib  fractures (RFs) is a clinically rare blunt injury to the thoracic aorta with an  insidious onset. DTAI is very prone to missed diagnosis due to the unreliability  of using the initial post-injury computed tomography (CT) scan to explicitly  detect any signs of an aortic injury, potentially leading to a fatal hemorrhage.  Timely diagnosis and treatment are therefore key to preventing such deadly  complications. With tha","","","","","",""
"36401000","Treatment and outcome in combined scapula and rib fractures: a retrospective  study.","PURPOSE: The primary aim was to describe the population characteristics of  patients with combined scapula and rib fractures and outcomes associated with  different treatment strategies. METHODS: All adult (>/= 18 years) patients with  concurrent ipsilateral scapula and rib fractures admitted to the study hospital  between 1st January 2010 and 31st June 2021 were retrospectively reviewed.  RESULTS: A total of 223 patients were admitted with concurrent ipsilateral rib  and scapula fractures. A to","","","","","",""
"36411547","Rib fixation for flail chest physiology and the facilitation of safe prone spinal  surgery: illustrative case.
LID - CASE22337 [pii]
LID - 10.3171/CASE22337 [doi]","BACKGROUND: Spine fractures are frequently associated with additional injuries in  the trauma setting, with chest wall trauma being particularly common. Limited  literature exists on the management of flail chest physiology with concurrent  unstable spinal injury. The authors present a case in which flail chest  physiology precluded safe prone surgery and after rib fixation the patient  tolerated spinal fixation without further issue. OBSERVATIONS: Flail chest  physiology can cause cardiovascula","","","","","",""
"36498097","Hospital-Based Rehabilitation of Patients Who Had Undergone an Open Reduction and  Internal Fixation of the Ribs Due to a Flail Chest: Case Series.
LID - 10.3390/ijerph192316026 [doi]
LID - 16026","Flail chest, a severe chest injury, is caused by multiple rib fractures. The open  reduction and internal fixation (ORIF) of rib fractures is an effective  treatment; however, the patients' subsequent condition remains unsatisfactory in  terms of the activities of daily living (ADL) and pain. No research study has, as  yet, reported on hospital-based rehabilitation of patients who had undergone an  ORIF. Our aim was to evaluate the efficacy of hospital-based rehabilitation of  flail chest post-O","","","","","",""
"36523662","Benefits of Early Thoracic Surgery in the Elderly During the COVID-19 Pandemic:  Lessons Learned From Performing a Video-Assisted Thoracotomy.","Elderly patients are often considered poor surgical candidates for intra-thoracic  operations due to the number of comorbidities, increased risks associated with  general anesthesia, decreased cardiopulmonary reserve, and overall increased  frailty. In addition, coronavirus disease 2019 (COVID-19) is a critical  psychosocial factor that, through secondary effects, can prevent patients from  receiving optimal care. Patients are reduced to having limited contact with  family, often a vital support","","","","","",""
"36538126","Early intramedullary nailing of bilateral femur fractures: who might benefit  most?","INTRODUCTION: Identifying which patients can receive immediate intramedullary  nailing (IMN) after bilateral femoral shaft fracture may improve health-related  quality of life outcomes and decrease healthcare costs. This retrospective study  evaluated the perioperative factors that guided emergency department transfer of  patients to the operating room (OR) where IMN or temporizing external fixation  (TEF) was performed, to the intensive care unit (ICU), or to the orthopedic ward.  The hypothesi","","","","","",""
"36550676","Non-Traumatic Rib Fractures, Haemothorax And Chest Wall Hernia Associated With  Excessive Coughing.","Haemothorax is presence of blood in pleural cavity and is usually caused by chest  trauma. Spontaneous rib fractures leading to haemothorax due to excessive  coughing has seldom been described in the literature. We report an unusual case  with asthma exacerbation who developed intense coughing followed by chest pain,  breathlessness, and widespread bruising, without trauma or coagulopathy. Initial  chest X-ray (CXR) and CT pulmonary angiogram (CTPA) showed no significant  abnormality. CT scan on","","","","","",""
"36563451","Surgical Stabilization of Rib Fractures in Severe Injury Is Not Associated With  Worse Outcomes.","INTRODUCTION: This study aimed to determine whether surgical stabilization of rib  fractures (SSRF) is associated with worse outcomes in individuals with  multicompartmental injuries. MATERIALS AND METHODS: A retrospective review of a  prospective trauma registry was performed for adult blunt trauma patients (aged >/=  18 y) with Injury Severity Score >/= 15 and radiographic evidence of rib fractures  (2015-2020). Individuals without concomitant head, abdomen/pelvis, or lower  extremity Abbrevia","","","","","",""
"36579237","Outpatient Surgery for Rib Fracture Fixation: A Report of Three Cases.","Rib fractures are common injuries observed in trauma patients that will often  heal without operative intervention. However, patients can infrequently have  continued pain. Operative fixation of these symptomatic rib fractures has  traditionally led to the patient requiring hospital admission for observation and  pain control. The purpose of this study was to review three cases of outpatient  rib fracture, open reduction and internal fixation (ORIF) surgery. Three patients  with symptomatic rib ","","","","","",""
"36579572","Tailored Surgical Stabilization of Rib Fractures Matters More Than the Number of  Fractured Ribs.
LID - 10.3390/jpm12111844 [doi]
LID - 1844","BACKGROUND: Patients sustaining multiple rib fractures have a significant risk of  developing morbidity and mortality. More evidence is emerging that the indication  of surgical stabilization of rib fractures (SSRF) should expand beyond flail  chest. Nevertheless, little is known about factors associated with poor outcomes  after surgical fixation. We reviewed patients with rib fractures to further  explore the role of SSRF; we matched two groups by propensity score (PS). METHOD:  A comparison o","","","","","",""
"36600614","Comprehensive Review of Current Pain Management in Rib Fractures With Practical  Guidelines for Clinicians.","Rib fractures are present in 15% of all traumas and 60% of patients with chest  traumas. Rib fractures are not life-threatening in isolation, but they can be  quite painful which leads to splinting and compromise of respiratory function.  Splinting limits the ability of a patient to take a deep breath, which leads to  atelectasis, atelectasis to poor secretion removal, and poor secretion removal  leads to pneumonia. Pneumonia is the common pathway to respiratory failure in  patients with rib fra","","","","","",""
"36623327","Biomechanical characteristics of rib fracture fixation systems.","BACKGROUND: The primary aim of this study was to determine and compare the  biomechanical properties of a fractured or intact rib after implant fixation on  an embalmed thorax. METHODS: Five systems were fixated on the bilateral fractured  or intact (randomly allocated) 6th to 10th rib of five post-mortem embalmed human  specimens. Each rib underwent a four-point bending test to determine the bending  structural stiffness (Newton per m(2)), load to failure (Newton), failure mode,  and the relati","","","","","",""
"36653803","Surgical and perioperative management of flail chest with titanium plates: a  French cohort series from a thoracic referral center.","BACKGROUND: The development of titanium claw plates has made rib osteosynthesis  easy to achieve and led to a renewed interest for this surgery. We report the  management of patients referred to the intensive care unit (ICU) of a referral  center for surgical rib fracture fixation (SRFF) after chest trauma. METHODS: We  performed a retrospective observational cohort study describing the patients'  characteristics and analyzing the determinants of postoperative complications.  RESULTS: From Novem","","","","","",""
"36676700","K-Rod: An Innovative Method of Personalized Rib Splinting for Expeditious  Management of Flail Chest in Acute Care Settings.
LID - 10.3390/medicina59010076 [doi]
LID - 76","Flail chest is a severe type of multiple rib fracture that can cause ventilation  problems and respiratory complications. Historically, flail chest has been mainly  managed through pain control and ventilatory support as needed. Operative  fixation has recently become popular for the condition, and some studies have  revealed its potentially positive effects on the outcomes of patients with flail  chest. However, for those for whom surgery is unsuitable, few treatment options,  other than simply","","","","","",""
"36683636","Undetected traumatic cardiac herniation like playing hide-and-seek-delayed  incidental findings during surgical stabilization of flail chest: A case report.","BACKGROUND: Post-traumatic blunt pericardial injury is a rare condition with only  a few reported cases which were generally diagnosed during initial examinations  upon admission. However, pericardial injuries not bad enough to dislocate the  heart may only cause intermittent electrocardiogram (ECG) changes or be  asymptomatic. CASE SUMMARY: In this case, we report a blunt pericardial injury  undetected on preoperative transthoracic echocardiography and chest computed  tomography. We misjudged i","","","","","",""
